province/country,city,province_eng,city_eng,country_eng
阿尔及利亚,,,,Algeria
阿富汗,,,,Afghanistan
阿联酋,,,,United Arab Emirates
阿曼,,,,Oman
阿塞拜疆,,,,Azerbaijan
埃及,,,,Egypt
爱尔兰,,,,Ireland
爱沙尼亚,,,,Estonia
安徽,安庆市,Anhui,Anqing,China
安徽,蚌埠市,Anhui,Bengbu,China
安徽,亳州市,Anhui,Bozhou,China
安徽,池州市,Anhui,Chizhou,China
安徽,滁州市,Anhui,Chuzhou,China
安徽,阜阳市,Anhui,Fuyang,China
安徽,合肥市,Anhui,Hefei,China
安徽,淮北市,Anhui,Huaibei,China
安徽,淮南市,Anhui,Huainan,China
安徽,黄山市,Anhui,Huangshan,China
安徽,六安市,Anhui,Lu'an,China
安徽,马鞍山市,Anhui,Ma'anshan,China
安徽,铜陵市,Anhui,Tongling,China
安徽,芜湖市,Anhui,Wuhu,China
安徽,宿州市,Anhui,Suzhou,China
安徽,宣城市,Anhui,Xuancheng,China
奥地利,,,,Austria
澳大利亚,,,,Australia
澳门,,Macau,,China
巴基斯坦,,,,Pakistan
巴林,,,,Bahrain
巴西,,,,Brazil
白俄罗斯,,,,Belarus
北京,昌平区,Beijing,Changping,China
北京,朝阳区,Beijing,Chaoyang,China
北京,大兴区,Beijing,Daxing,China
北京,地市明细不详,Beijing,city unspecified,China
北京,东城区,Beijing,Dongcheng,China
北京,房山区,Beijing,Fangshan,China
北京,丰台区,Beijing,Fengtai,China
北京,海淀区,Beijing,Haidian,China
北京,怀柔区,Beijing,Huairou,China
北京,境外输入,Beijing,from other countries,China
北京,门头沟区,Beijing,Mentougou,China
北京,密云区,Beijing,Miyun,China
北京,石景山区,Beijing,Shijingshan,China
北京,顺义区,Beijing,Shunyi,China
北京,通州区,Beijing,Tongzhou,China
北京,外地来京,Beijing,from other provinces,China
北京,西城区,Beijing,Xicheng,China
北京,延庆区,Beijing,Yanqing,China
北马其顿,,,,North Macedonia
比利时,,,,Belgium
冰岛,,,,Iceland
丹麦,,,,Denmark
德国,,,,Germany
多米尼加,,,,Dominica
俄罗斯,,,,Russia
厄瓜多尔,,,,Ecuador
法国,,,,France
菲律宾,,,,Philippines
芬兰,,,,Finland
福建,地市明细不详,Fujian,city unspecified,China
福建,福州市,Fujian,Fuzhou,China
福建,龙岩市,Fujian,Longyan,China
福建,南平市,Fujian,Nanping,China
福建,宁德市,Fujian,Ningde,China
福建,莆田市,Fujian,Putian,China
福建,泉州市,Fujian,Quanzhou,China
福建,三明市,Fujian,Sanming,China
福建,厦门市,Fujian,Xiamen,China
福建,漳州市,Fujian,Zhangzhou,China
甘肃,白银市,Gansu,Baiyin,China
甘肃,地市明细不详,Gansu,city unspecified,China
甘肃,定西市,Gansu,Dingxi,China
甘肃,甘南州,Gansu,Gannan,China
甘肃,金昌市,Gansu,Jinchang,China
甘肃,兰州市,Gansu,Lanzhou,China
甘肃,临夏州,Gansu,Linxia,China
甘肃,陇南市,Gansu,Longnan,China
甘肃,平凉市,Gansu,Pingliang,China
甘肃,庆阳市,Gansu,Qingyang,China
甘肃,天水市,Gansu,Tianshui,China
甘肃,张掖市,Gansu,Zhangye,China
格鲁吉亚,,,,Georgia
广东,潮州市,Guangdong,Chaozhou,China
广东,地市明细不详,Guangdong,city unspecified,China
广东,东莞市,Guangdong,Dongguan,China
广东,佛山市,Guangdong,Foshan,China
广东,广州市,Guangdong,Guangzhou,China
广东,河源市,Guangdong,Heyuan,China
广东,惠州市,Guangdong,Huizhou,China
广东,江门市,Guangdong,Jiangmen,China
广东,揭阳市,Guangdong,Jieyang,China
广东,茂名市,Guangdong,Maoming,China
广东,梅州市,Guangdong,Meizhou,China
广东,清远市,Guangdong,Qingyuan,China
广东,汕头市,Guangdong,Shantou,China
广东,汕尾市,Guangdong,Shanwei,China
广东,韶关市,Guangdong,Shaoguan,China
广东,深圳市,Guangdong,Shenzhen,China
广东,阳江市,Guangdong,Yangjiang,China
广东,湛江市,Guangdong,Zhanjiang,China
广东,肇庆市,Guangdong,Zhaoqing,China
广东,中山市,Guangdong,Zhongshan,China
广东,珠海市,Guangdong,Zhuhai,China
广西,百色市,Guangxi,Baise,China
广西,北海市,Guangxi,Beihai,China
广西,地市明细不详,Guangxi,city unspecified,China
广西,防城港市,Guangxi,Fangchenggang,China
广西,贵港市,Guangxi,Guigang,China
广西,桂林市,Guangxi,Guilin,China
广西,河池市,Guangxi,Hechi,China
广西,贺州市,Guangxi,Hezhou,China
广西,来宾市,Guangxi,Laibin,China
广西,柳州市,Guangxi,Liuzhou,China
广西,南宁市,Guangxi,Nanning,China
广西,钦州市,Guangxi,Qinzhou,China
广西,梧州市,Guangxi,Wuzhou,China
广西,玉林市,Guangxi,Yulin,China
贵州,安顺市,Guizhou,Anshun,China
贵州,毕节市,Guizhou,Bijie,China
贵州,贵阳市,Guizhou,Guiyang,China
贵州,六盘水市,Guizhou,Liupanshui,China
贵州,黔东南州,Guizhou,Qiandongnan,China
贵州,黔南州,Guizhou,Qiannan,China
贵州,黔西南州,Guizhou,Qianxinan,China
贵州,铜仁市,Guizhou,Tongren,China
贵州,遵义市,Guizhou,Zunyi,China
海南,保亭县,Hainan,Baoting,China
海南,昌江县,Hainan,Changjiang,China
海南,澄迈县,Hainan,Chengmai,China
海南,儋州市,Hainan,Danzhou,China
海南,地市明细不详,Hainan,city unspecified,China
海南,定安县,Hainan,Ding'an,China
海南,东方市,Hainan,Dongfang,China
海南,海口市,Hainan,Haikou,China
海南,乐东县,Hainan,Ledong,China
海南,临高县,Hainan,Lingao,China
海南,陵水县,Hainan,Lingshui,China
海南,琼海市,Hainan,Qionghai,China
海南,琼中县,Hainan,Qiongzhong,China
海南,三亚市,Hainan,Sanya,China
海南,万宁市,Hainan,Wanning,China
海南,文昌市,Hainan,Wenchang,China
韩国,,,,South Korea
河北,保定市,Hebei,Baoding,China
河北,沧州市,Hebei,Cangzhou,China
河北,承德市,Hebei,Chengde,China
河北,邯郸市,Hebei,Handan,China
河北,衡水市,Hebei,Hengshui,China
河北,廊坊市,Hebei,Langfang,China
河北,秦皇岛市,Hebei,Qinhuangdao,China
河北,石家庄市,Hebei,Shijiazhuang,China
河北,唐山市,Hebei,Tangshan,China
河北,邢台市,Hebei,Xingtai,China
河北,张家口市,Hebei,Zhangjiakou,China
河南,安阳市,Henan,Anyang,China
河南,地市明细不详,Henan,city unspecified,China
河南,鹤壁市,Henan,Hebi,China
河南,济源市,Henan,Jiyuan,China
河南,焦作市,Henan,Jiaozuo,China
河南,开封市,Henan,Kaifeng,China
河南,洛阳市,Henan,Luoyang,China
河南,漯河市,Henan,Luohe,China
河南,南阳市,Henan,Nanyang,China
河南,平顶山市,Henan,Pingdingshan,China
河南,濮阳市,Henan,Puyang,China
河南,三门峡市,Henan,Sanmenxia,China
河南,商丘市,Henan,Shangqiu,China
河南,新乡市,Henan,Xinxiang,China
河南,信阳市,Henan,Xinyang,China
河南,许昌市,Henan,Xuchang,China
河南,郑州市,Henan,Zhengzhou,China
河南,周口市,Henan,Zhoukou,China
河南,驻马店市,Henan,Zhumadian,China
荷兰,,,,The Netherlands
黑龙江,大庆市,Heilongjiang,Daqing,China
黑龙江,大兴安岭地区,Heilongjiang,Da Hinggan Ling,China
黑龙江,哈尔滨市,Heilongjiang,Harbin,China
黑龙江,鹤岗市,Heilongjiang,Hegang,China
黑龙江,黑河市,Heilongjiang,Heihe,China
黑龙江,鸡西市,Heilongjiang,Jixi,China
黑龙江,佳木斯市,Heilongjiang,Jiamusi,China
黑龙江,牡丹江市,Heilongjiang,Mudanjiang,China
黑龙江,七台河市,Heilongjiang,Qitaihe,China
黑龙江,齐齐哈尔市,Heilongjiang,Qiqihar,China
黑龙江,双鸭山市,Heilongjiang,Shuangyashan,China
黑龙江,绥化市,Heilongjiang,Suihua,China
黑龙江,伊春市,Heilongjiang,Yichun,China
湖北,鄂州市,Hubei,Ezhou,China
湖北,恩施州,Hubei,Enshi,China
湖北,黄冈市,Hubei,Huanggang,China
湖北,黄石市,Hubei,Huangshi,China
湖北,荆门市,Hubei,Jingmen,China
湖北,荆州市,Hubei,Jingzhou,China
湖北,潜江市,Hubei,Qianjiang,China
湖北,神农架林区,Hubei,Shennongjia,China
湖北,十堰市,Hubei,Shiyan,China
湖北,随州市,Hubei,Suizhou,China
湖北,天门市,Hubei,Tianmen,China
湖北,武汉市,Hubei,Wuhan,China
湖北,仙桃市,Hubei,Xiantao,China
湖北,咸宁市,Hubei,Xianning,China
湖北,襄阳市,Hubei,Xiangyang,China
湖北,孝感市,Hubei,Xiaogan,China
湖北,宜昌市,Hubei,Yichang,China
湖南,常德市,Hubei,Changde,China
湖南,郴州市,Hunan,Chenzhou,China
湖南,地市明细不详,Hunan,city unspecified,China
湖南,衡阳市,Hunan,Hengyang,China
湖南,怀化市,Hunan,Huaihua,China
湖南,娄底市,Hunan,Loudi,China
湖南,邵阳市,Hunan,Shaoyang,China
湖南,湘潭市,Hunan,Xiangtan,China
湖南,湘西州,Hunan,Xiangxi,China
湖南,益阳市,Hunan,Yiyang,China
湖南,永州市,Hunan,Yongzhou,China
湖南,岳阳市,Hunan,Yueyang,China
湖南,张家界市,Hunan,Zhangjiajie,China
湖南,长沙市,Hunan,Changsha,China
湖南,株洲市,Hunan,Zhuzhou,China
吉林,白城市,Jilin,Baicheng,China
吉林,公主岭市,Jilin,Gongzhuling,China
吉林,吉林市,Jilin,Jilin,China
吉林,辽源市,Jilin,Liaoyuan,China
吉林,四平市,Jilin,Siping,China
吉林,松原市,Jilin,Songyuan,China
吉林,通化市,Jilin,Tonghua,China
吉林,通辽市,Jilin,Tongliao,China
吉林,延边州,Jilin,Yanbian,China
吉林,长春市,Jilin,Changchun,China
加拿大,,,,Canada
柬埔寨,,,,Cambodia
江苏,常州市,Jiangsu,Changzhou,China
江苏,淮安市,Jiangsu,Huai'an,China
江苏,连云港市,Jiangsu,Lianyungang,China
江苏,南京市,Jiangsu,Nanjing,China
江苏,南通市,Jiangsu,Nantong,China
江苏,苏州市,Jiangsu,Suzhou,China
江苏,泰州市,Jiangsu,Taizhou,China
江苏,无锡市,Jiangsu,Wuxi,China
江苏,宿迁市,Jiangsu,Suqian,China
江苏,徐州市,Jiangsu,Xuzhou,China
江苏,盐城市,Jiangsu,Yancheng,China
江苏,扬州市,Jiangsu,Yangzhou,China
江苏,镇江市,Jiangsu,Zhenjiang,China
江西,抚州市,Jiangxi,Fuzhou,China
江西,赣江新区,Jiangxi,Ganjiang,China
江西,赣州市,Jiangxi,Ganzhou,China
江西,吉安市,Jiangxi,Ji'an,China
江西,景德镇市,Jiangxi,Jingdezhen,China
江西,九江市,Jiangxi,Jiujiang,China
江西,南昌市,Jiangxi,Nanchang,China
江西,萍乡市,Jiangxi,Pingxiang,China
江西,上饶市,Jiangxi,Shangrao,China
江西,新余市,Jiangxi,Xinyu,China
江西,宜春市,Jiangxi,Yichun,China
江西,鹰潭市,Jiangxi,Yingtan,China
卡塔尔,,,,Qatar
科威特,,,,Kuwait
克罗地亚,,,,Croatia
黎巴嫩,,,,Lebanon
立陶宛,,,,Lithuania
辽宁,鞍山市,Liaoning,Anshan,China
辽宁,本溪市,Liaoning,Benxi,China
辽宁,朝阳市,Liaoning,Chaoyang,China
辽宁,大连市,Liaoning,Dalian,China
辽宁,丹东市,Liaoning,Dandong,China
辽宁,阜新市,Liaoning,Fuxin,China
辽宁,葫芦岛市,Liaoning,Huludao,China
辽宁,锦州市,Liaoning,Jinzhou,China
辽宁,辽阳市,Liaoning,Liaoyang,China
辽宁,盘锦市,Liaoning,Panjin,China
辽宁,沈阳市,Liaoning,Shenyang,China
辽宁,铁岭市,Liaoning,Tieling,China
辽宁,营口市,Liaoning,Yingkou,China
卢森堡,,,,Luxembourg
罗马尼亚,,,,Romania
马来西亚,,,,Malaysia
美国,,,,U.S.
摩纳哥,,,,Monaco
摩洛哥,,,,Morocco
墨西哥,,,,Mexico
内蒙古,巴彦淖尔市,Inner Mongolia,Bayan Nur,China
内蒙古,包头市,Inner Mongolia,Baotou,China
内蒙古,赤峰市,Inner Mongolia,Chifeng,China
内蒙古,鄂尔多斯市,Inner Mongolia,Ordos,China
内蒙古,呼和浩特市,Inner Mongolia,Hohhot,China
内蒙古,呼伦贝尔市,Inner Mongolia,Hulun Buir,China
内蒙古,通辽市,Inner Mongolia,Tongliao,China
内蒙古,乌海市,Inner Mongolia,Wuhai,China
内蒙古,乌兰察布市,Inner Mongolia,Ulanqab,China
内蒙古,锡林郭勒盟,Inner Mongolia,Xilingol,China
内蒙古,兴安盟,Inner Mongolia,Hinggan,China
尼泊尔,,,,Nepal
尼日利亚,,,,Nigeria
宁夏,固原市,Ningxia,Guyuan,China
宁夏,宁东,Ningxia,Ningdong,China
宁夏,石嘴山市,Ningxia,Shizuishan,China
宁夏,吴忠市,Ningxia,Wuzhong,China
宁夏,银川市,Ningxia,Yinchuan,China
宁夏,中卫市,Ningxia,Zhongwei,China
挪威,,,,Norway
钻石公主号,,,,Princess Daimond
青海,地市明细不详,Qinghai,city unspecified,China
青海,海北州,Qinghai,Haibei,China
青海,西宁市,Qinghai,Xining,China
日本,,,,Japan
瑞典,,,,Sweden
瑞士,,,,Switzerland
山东,滨州市,Shandong,Binzhou,China
山东,德州市,Shandong,Dezhou,China
山东,地市明细不详,Shandong,city unspecified,China
山东,菏泽市,Shandong,Heze,China
山东,济南市,Shandong,Jinan,China
山东,济宁市,Shandong,Jining,China
山东,聊城市,Shandong,Liaocheng,China
山东,临沂市,Shandong,Linyi,China
山东,青岛市,Shandong,Qingdao,China
山东,日照市,Shandong,Rizhao,China
山东,泰安市,Shandong,Taian,China
山东,威海市,Shandong,Weihai,China
山东,潍坊市,Shandong,Weifang,China
山东,烟台市,Shandong,Yantai,China
山东,枣庄市,Shandong,Zaozhuang,China
山东,淄博市,Shandong,Zibo,China
山西,大同市,Shanxi,Datong,China
山西,地市明细不详,Shanxi,city unspecified,China
山西,晋城市,Shanxi,Jincheng,China
山西,晋中市,Shanxi,Jinzhong,China
山西,临汾市,Shanxi,Linfen,China
山西,吕梁市,Shanxi,Lvliang,China
山西,朔州市,Shanxi,Shuozhou,China
山西,太原市,Shanxi,Taiyuan,China
山西,忻州市,Shanxi,Xinzhou,China
山西,阳泉市,Shanxi,Yangquan,China
山西,运城市,Shanxi,Yuncheng,China
山西,长治市,Shanxi,Changzhi,China
陕西,安康市,Shaanxi,Ankang,China
陕西,宝鸡市,Shaanxi,Baoji,China
陕西,地市明细不详,Shaanxi,city unspecified,China
陕西,韩城市,Shaanxi,Hancheng,China
陕西,汉中市,Shaanxi,Hanzhong,China
陕西,商洛市,Shaanxi,Shangluo,China
陕西,铜川市,Shaanxi,Tongchuan,China
陕西,渭南市,Shaanxi,Weinan,China
陕西,西安市,Shaanxi,Xi'an,China
陕西,咸阳市,Shaanxi,Xianyang,China
陕西,延安市,Shaanxi,Yan'an,China
陕西,杨凌示范区,Shaanxi,Yangling,China
陕西,榆林市,Shaanxi,Yulin,China
上海,宝山区,Shanghai,Baoshan,China
上海,崇明县,Shanghai,Chongming,China
上海,地市明细不详,Shanghai,city unspecified,China
上海,奉贤区,Shanghai,Fengxian,China
上海,虹口区,Shanghai,Hongkou,China
上海,黄浦区,Shanghai,Huangpu,China
上海,嘉定区,Shanghai,Jiading,China
上海,金山区,Shanghai,Jinshan,China
上海,静安区,Shanghai,Jing'an,China
上海,闵行区,Shanghai,Minyang,China
上海,浦东新区,Shanghai,Pudong,China
上海,普陀区,Shanghai,Putuo,China
上海,青浦区,Shanghai,Qingpu,China
上海,松江区,Shanghai,Songjiang,China
上海,外地来沪,Shanghai,from other provinces,China
上海,徐汇区,Shanghai,Xuhui,China
上海,杨浦区,Shanghai,Yangpu,China
上海,长宁区,Shanghai,Changning,China
圣马力诺,,,,San Marino
斯里兰卡,,,,Sri Lanka
四川,阿坝州,Sichuan,Ngawa,China
四川,巴中市,Sichuan,Bazhong,China
四川,成都市,Sichuan,Chengdu,China
四川,达州市,Sichuan,Dazhou,China
四川,德阳市,Sichuan,Deyang,China
四川,地市明细不详,Sichuan,city unspecified,China
四川,甘孜州,Sichuan,Garzê,China
四川,广安市,Sichuan,Guang'an,China
四川,广元市,Sichuan,Guangyuan,China
四川,乐山市,Sichuan,Leshan,China
四川,凉山州,Sichuan,Liangshan,China
四川,泸州市,Sichuan,Luzhou,China
四川,眉山市,Sichuan,Meishan,China
四川,绵阳市,Sichuan,Mianyang,China
四川,南充市,Sichuan,Nanchong,China
四川,内江市,Sichuan,Neijiang,China
四川,攀枝花市,Sichuan,Panzhihua,China
四川,遂宁市,Sichuan,Suining,China
四川,雅安市,Sichuan,Ya'an,China
四川,宜宾市,Sichuan,Yibin,China
四川,资阳市,Sichuan,Ziyang,China
四川,自贡市,Sichuan,Zigong,China
台湾,,Taiwan,,China
泰国,,,,Thailand
天津,宝坻区,Tianjin,Baodi,China
天津,北辰区,Tianjin,Beichen,China
天津,滨海新区,Tianjin,Binhai,China
天津,地市明细不详,Tianjin,city unspecified,China
天津,东丽区,Tianjin,Dongli,China
天津,和平区,Tianjin,Heping,China
天津,河北区,Tianjin,Hebei,China
天津,河东区,Tianjin,Hedong,China
天津,河西区,Tianjin,Hexi,China
天津,红桥区,Tianjin,Hongqiao,China
天津,津南区,Tianjin,Jinnan,China
天津,南开区,Tianjin,Nankai,China
天津,宁河区,Tianjin,Ninghe,China
天津,外地来津,Tianjin,from other provinces,China
天津,武清区,Tianjin,Wuqing,China
天津,西青区,Tianjin,Xiqing,China
西班牙,,,,Spain
西藏,拉萨市,Tibet,Lhasa,China
希腊,,,,Greece
香港,,Hong Kong,,China
新加坡,,,,Singapore
新疆,阿克苏地区,Xinjiang,Aksu,China
新疆,巴音郭楞州,Xinjiang,Bayingol,China
新疆,昌吉州,Xinjiang,Changji,China
新疆,吐鲁番市,Xinjiang,Turpan,China
新疆,乌鲁木齐市,Xinjiang,Urumqi,China
新疆,新疆生产建设兵团,Xinjiang,Xinjiang Production and Construction Corps,China
新疆,伊犁州,Xinjiang,Ili,China
新西兰,,,,New Zealand
亚美尼亚,,,,Armenia
伊拉克,,,,Iraq
伊朗,,,,Iran
以色列,,,,Israel
意大利,,,,Italy
印度,,,,India
英国,,,,U.K.
越南,,,,Vietnam
云南,保山市,Yunnan,Baoshan,China
云南,楚雄州,Yunnan,Chuxiong,China
云南,大理州,Yunnan,Dali,China
云南,地市明细不详,Yunnan,city unspecified,China
云南,红河州,Yunnan,Honghe,China
云南,昆明市,Yunnan,Kunming,China
云南,丽江市,Yunnan,Lijiang,China
云南,临沧市,Yunnan,Lincang,China
云南,普洱市,Yunnan,Puer,China
云南,曲靖市,Yunnan,Qujing,China
云南,文山州,Yunnan,Wenshan,China
云南,西双版纳州,Yunnan,Xishuangbanna,China
云南,玉溪市,Yunnan,Yuxi,China
云南,昭通市,Yunnan,Zhaotong,China
浙江,杭州市,Zhejiang,Hangzhou,China
浙江,湖州市,Zhejiang,Huzhou,China
浙江,嘉兴市,Zhejiang,Jiaxing,China
浙江,金华市,Zhejiang,Jinhua,China
浙江,丽水市,Zhejiang,Lishui,China
浙江,宁波市,Zhejiang,Ningbo,China
浙江,衢州市,Zhejiang,Quzhou,China
浙江,绍兴市,Zhejiang,Shaoxing,China
浙江,台州市,Zhejiang,Taizhou,China
浙江,温州市,Zhejiang,Wenzhou,China
浙江,舟山市,Zhejiang,Zhoushan,China
重庆,巴南区,Chongqing,Banan,China
重庆,璧山区,Chongqing,Bishan,China
重庆,城口县,Chongqing,Chengkou,China
重庆,大渡口区,Chongqing,Dadukou,China
重庆,大足区,Chongqing,Dazu,China
重庆,垫江县,Chongqing,Dianjiang,China
重庆,丰都县,Chongqing,Fengdu,China
重庆,奉节县,Chongqing,Fengjie,China
重庆,涪陵区,Chongqing,Fuling,China
重庆,高新区,Chongqing,Gaoxin,China
重庆,合川区,Chongqing,Hechuan,China
重庆,江北区,Chongqing,Jiangbei,China
重庆,江津区,Chongqing,Jiangjin,China
重庆,九龙坡区,Chongqing,Jiulongpo,China
重庆,开州区,Chongqing,Kaizhou,China
重庆,梁平区,Chongqing,Liangping,China
重庆,两江新区,Chongqing,Liangjiang,China
重庆,南岸区,Chongqing,Nan'an,China
重庆,彭水县,Chongqing,Pengshui,China
重庆,綦江区,Chongqing,Qijiang,China
重庆,黔江区,Chongqing,Qianjiang,China
重庆,荣昌区,Chongqing,Rongchang,China
重庆,沙坪坝区,Chongqing,Shapingba,China
重庆,石柱县,Chongqing,Shizhu,China
重庆,铜梁区,Chongqing,Tongliang,China
重庆,潼南区,Chongqing,Tongnan,China
重庆,万盛区,Chongqing,Wansheng,China
重庆,万州区,Chongqing,Wanzhou,China
重庆,巫山县,Chongqing,Wushan,China
重庆,巫溪县,Chongqing,Wuxi,China
重庆,武隆区,Chongqing,Wulong,China
重庆,秀山县,Chongqing,Xiushan,China
重庆,永川区,Chongqing,Yongchuan,China
重庆,酉阳县,Chongqing,Youyang,China
重庆,渝北区,Chongqing,Yubei,China
重庆,渝中区,Chongqing,Yuzhong,China
重庆,云阳县,Chongqing,Yunyang,China
重庆,长寿区,Chongqing,Changshou,China
重庆,忠县,Chongqing,Zhongxian,China
安道尔,,,,Andorra
突尼斯,,,,Tunisia
沙特阿拉伯,,,,Saudi Arabia
拉脱维亚,,,,Latvia
塞内加尔,,,,Senegal
约旦,,,,Jordan
印度尼西亚,,,,Indonesia
捷克,,,,Czechia
